date_日期,price_价格,title_名称,itemurl_商品链接,qushi_趋势,changPriceRemark_趋势变动
2021-09-14,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-15,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-16,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-16,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-17,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-17,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-18,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-18,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-19,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-19,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
2021-09-20,9999.0,京品电脑小米 RedmiG 16.1英寸 支持独显直连 游戏本笔记本电脑(R7八核 16G 512G RTX3060 130w功耗 144Hz电竞屏),http://item.jd.com/100026497910.html,上涨,涨幅3%
